Customer ID,Product,Date,Quantity
CUST0871,Juice - Pack 7,2022-10-01,4
CUST0516,Vinegar - Pack 8,2022-03-01,2
CUST0319,Sanitizer - Pack 6,2022-09-01,4
CUST0082,Oats - Pack 9,2022-09-01,10
CUST0480,Chips - Pack 6,2022-07-01,3
CUST0744,Beef - Pack 1,2022-04-01,4
CUST0418,Onions - Pack 5,2022-03-01,5
CUST0534,Toothbrush - Pack 2,2022-10-01,7
CUST0049,Juice - Pack 6,2022-02-01,6
CUST0849,Bread - Pack 1,2022-02-01,5
CUST0745,Beef - Pack 9,2022-04-01,6
CUST0980,Chicken - Pack 3,2022-01-01,4
CUST0177,Coffee - Pack 2,2022-08-01,3
CUST0537,Rice - Pack 9,2022-10-01,4
CUST0608,Biscuits - Pack 10,2022-01-01,4
CUST0646,Pasta - Pack 9,2022-04-01,7
CUST0252,Spinach - Pack 1,2022-11-01,6
CUST0754,Soap - Pack 1,2022-01-01,4
CUST0401,Tissues - Pack 6,2022-02-01,7
CUST0927,Toothpaste - Pack 6,2022-05-01,7
CUST0031,Shampoo - Pack 4,2022-01-01,7
CUST0933,Honey - Pack 10,2022-05-01,6
CUST0485,Grapes - Pack 5,2022-03-01,3
CUST0333,Shampoo - Pack 1,2022-12-01,5
CUST0080,Lemons - Pack 9,2022-07-01,3
CUST0860,Beef - Pack 5,2022-12-01,7
CUST0011,Cheese - Pack 4,2022-07-01,4
CUST0451,Detergent - Pack 2,2022-06-01,7
CUST0381,Toothbrush - Pack 9,2022-05-01,2
CUST0533,Peas - Pack 1,2022-11-01,1
CUST0955,Mutton - Pack 3,2022-02-01,5
CUST0913,Napkins - Pack 10,2022-12-01,7
CUST0594,Broccoli - Pack 3,2022-12-01,5
CUST0057,Peas - Pack 9,2022-11-01,3
CUST0441,Oats - Pack 7,2022-08-01,3
CUST0428,Spinach - Pack 8,2022-09-01,6
CUST0326,Corn - Pack 3,2022-01-01,7
CUST0394,Tea - Pack 9,2022-04-01,3
CUST0495,Biscuits - Pack 6,2022-09-01,5
CUST0413,Biscuits - Pack 9,2022-12-01,1
CUST0649,Soap - Pack 7,2022-08-01,5
CUST0048,Tea - Pack 5,2022-12-01,10
CUST0384,Flour - Pack 2,2022-06-01,3
CUST0119,Chips - Pack 4,2022-01-01,5
CUST0473,Napkins - Pack 1,2022-04-01,3
CUST0417,Biscuits - Pack 10,2022-03-01,4
CUST0993,Shampoo - Pack 1,2022-04-01,10
CUST0316,Napkins - Pack 10,2022-07-01,2
CUST0449,Carrots - Pack 3,2022-01-01,2
CUST0291,Vinegar - Pack 3,2022-02-01,6
CUST0637,Toothpaste - Pack 2,2022-07-01,2
CUST0348,Sugar - Pack 10,2022-04-01,6
CUST0845,Detergent - Pack 4,2022-09-01,4
